所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
25BW060-355TC3-D38,1_np1v,-1v~1v,正常,7,7,0.8371428571428572,0.93,0.141151725188924,0.65,0.98,0.32999999999999996,0.332412312819916,7,-0.86,-0.85,0.07071067811865475,-0.98,-0.78,0.19999999999999996,0.16652364696943195
25BW060-355TC3-D38,2_np1.5v,-1.5v~1.5v,正常,16,16,1.135625,1.26,0.33850590836793376,0.39,1.46,1.0699999999999998,0.797181414206484,16,-1.165,-1.22,0.2991543637210284,-1.37,-0.1,1.27,0.7045085265630219
25BW060-355TC3-D38,3_np2v,-2v~2v,正常,279,279,1.8202508960573478,1.88,0.24747707136926997,0.53,1.99,1.46,0.5828085030746307,279,-1.6914336917562722,-1.83,0.3961897051387184,-1.98,-0.01,1.97,0.9330267556016818
25BW060-355TC3-D38,4_np2.5v,-2.5v~2.5v,正常,615,615,1.9690731707317073,2.18,0.557089299953487,0.44,2.49,2.0500000000000003,1.3119453013904618,615,-2.218845528455285,-2.34,0.4157824544032394,-2.49,-0.01,2.4800000000000004,0.9791676801196288
25BW060-355TC3-D38,5_n3p2.5,-3v~2.5v,正常,409,409,0.9087286063569683,0.79,0.40654793411551393,0.4,2.49,2.0900000000000003,0.9574203848420353,409,-2.5746210268948655,-2.65,0.40773515487086753,-2.99,-0.18,2.81,0.960216289720893
25BW062-363TC3-D34_20260401,1_np1v,-1v~1v,正常,298,298,0.7560738255033557,0.75,0.11193291605433747,0.49,0.99,0.5,0.26360201730796473,298,-0.8702013422818794,-0.88,0.0848208236189931,-0.98,-0.08,0.9,0.19975303962272875
25BW062-363TC3-D34_20260401,2_np1.5v,-1.5v~1.5v,正常,378,378,1.0983068783068781,1.07,0.18529578048504167,0.35,1.48,1.13,0.43637156304227315,378,-1.3567195767195768,-1.4,0.17853019326576852,-1.48,-0.05,1.43,0.4204386051408849
25BW062-363TC3-D34_20260401,3_np2v,-2v~2v,正常,450,450,1.3659333333333334,1.5950000000000002,0.4863872040354713,0.48,1.99,1.51,1.145441865503535,450,-1.8054666666666666,-1.91,0.30878651781732,-1.98,-0.13,1.85,0.7271922494597887
25BW062-363TC3-D34_20260401,4_n2.5p2,-2.5v~2v,正常,346,346,0.9455491329479769,0.74,0.4085178074799574,0.47,1.99,1.52,0.9620594366152997,346,-2.0840173410404628,-2.14,0.28719289026742256,-2.49,-0.68,1.81,0.6763392565797801
25BW062-363TC3-D34_20260401,5_np2.5,-2.5v~2.5v,正常,137,137,1.7720437956204378,1.79,0.47059589678177205,0.48,2.48,2.0,1.1082533369210732,137,-1.7870802919708033,-1.9,0.5865153332632109,-2.49,-0.31,2.18,1.3812436098348617
25BW062-363TC3-D34_20260401,open_1,-2.5v~2vopen_1,正常,1,1,0.07,0.07,,0.07,0.07,,,1,-1.03,-1.03,,-1.03,-1.03,,
25BW062-366TC3-D33,1_np1v 326,-1v~1v 326,正常,698,698,0.6262034383954155,0.72,0.26114591069736615,0.02,0.99,0.97,0.6149986196922973,698,-0.7073638968481375,-0.85,0.2873146575434538,-0.98,-0.01,0.97,0.6766260185148337
25BW062-366TC3-D33,2_np1.5v 662,-1.5v~1.5v 662,正常,362,362,0.7385635359116023,0.715,0.39736686315021913,0.02,1.49,1.47,0.9357989627187661,362,-0.8748342541436464,-0.93,0.44778692516301666,-1.48,-0.01,1.47,1.0545382087589041
25BW062-366TC3-D33,3_n1.7p1.2  540,-1.7v~1.2v  540,正常,1024,1024,0.7645703125,0.8,0.25778932902628854,0.01,1.45,1.44,0.6070938698569095,1024,-1.177041015625,-1.26,0.3365522016498052,-1.68,-0.01,1.67,0.7925804348852913
25BW062-366TC3-D33,4_n1.7p1.5 412,-1.7v~1.5v 412,正常,1024,1024,0.856474609375,0.88,0.26447235013913467,0.02,1.48,1.46,0.6228323845776621,1024,-1.25388671875,-1.38,0.3534855500238098,-1.69,-0.01,1.68,0.8324584703060721
26BW108-547TC3-D37_20260414,1_np1v,-1v~1v,正常,74,74,0.8128378378378378,0.825,0.11237803458983751,0.57,0.98,0.41000000000000003,0.26465027145906733,74,-0.8633783783783784,-0.895,0.09387075094120546,-0.97,-0.53,0.43999999999999995,0.22106561846653885
26BW108-547TC3-D37_20260414,2_np1.5v,-1.5v~1.5v,正常,99,99,1.1524242424242424,1.15,0.21355633443599029,0.53,1.49,0.96,0.5029251675967571,99,-1.3108080808080809,-1.38,0.2259252032975839,-1.48,-0.04,1.44,0.53205385376581
26BW108-547TC3-D37_20260414,3_np2v,-2v~2v,正常,107,107,1.6400934579439252,1.79,0.38893540067753407,0.55,1.99,1.44,0.9159428685955927,107,-1.871214953271028,-1.9,0.13702850743462816,-1.98,-0.83,1.15,0.32270213500854933
26BW108-547TC3-D37_20260414,4_n2.5p2v,-2.5v~2v,正常,116,116,1.3167241379310342,1.27,0.4103821673006526,0.57,1.99,1.42,0.9664500039930368,116,-2.2184482758620687,-2.245,0.18191064910518867,-2.49,-1.67,0.8200000000000003,0.4283995786427193
26BW108-547TC3-D37_20260414,5_n3p2v,-3v~2v,正常,266,266,1.0257894736842106,0.965,0.3001828638310907,0.1,1.98,1.88,0.7069306443222186,266,-2.6497744360902256,-2.66,0.13997016482855779,-2.99,-2.24,0.75,0.3296297381712536
26BW108-547TC3-D37_20260414,6_n3.3p2v,-3.3v~2v,正常,395,395,0.9578481012658229,0.91,0.24039767648224222,0.54,1.97,1.43,0.5661365281156804,395,-2.8493924050632913,-2.84,0.1693691952736765,-3.28,-2.1,1.1799999999999997,0.39886445486950817
26BW108-548TC3-D39_20260421,1_np1v,-1v~1v,正常,52,52,0.8084615384615385,0.83,0.11918653390485602,0.53,0.99,0.45999999999999996,0.2806842873459359,52,-0.7194230769230769,-0.79,0.2581716518325642,-0.98,-0.03,0.95,0.6079942400656887
26BW108-548TC3-D39_20260421,2_np1.5v,-1.5v~1.5v,正常,56,56,1.1666071428571432,1.165,0.2140626652999646,0.6,1.48,0.88,0.5041175767814167,56,-1.1962500000000003,-1.2650000000000001,0.2984783378770027,-1.48,-0.19,1.29,0.7029164857003413
26BW108-548TC3-D39_20260421,3_np2v,-2v~2v,正常,67,67,1.6667164179104477,1.75,0.3805434234757061,0.55,1.99,1.44,0.8961797622852878,67,-1.654776119402985,-1.8,0.42703473071784015,-1.98,-0.18,1.8,1.0056667908405135
26BW108-548TC3-D39_20260421,4_np2.5v,-2.5v~2.5v,正常,83,83,2.0302409638554217,2.2,0.43361210018108337,0.8,2.49,1.6900000000000002,1.0211564959264514,83,-2.1855421686746985,-2.26,0.31331918196223385,-2.49,-0.47,2.0200000000000005,0.7378666735210607
26BW108-548TC3-D39_20260421,5_np3v,-3v~3v,正常,75,75,2.1069333333333335,2.21,0.638204773825246,0.8,2.99,2.1900000000000004,1.5029722423584544,75,-2.5727999999999995,-2.57,0.31446462440153744,-2.99,-1.51,1.4800000000000002,0.7405641904656207
26BW108-549-D310TC3_20260417,1_np1v,-1v~1v,正常,133,133,0.8331578947368421,0.84,0.11272363913472946,0.56,0.99,0.42999999999999994,0.2654641701622879,133,-0.8423308270676692,-0.87,0.10877337587878917,-0.97,-0.28,0.69,0.2561613001945485
26BW108-549-D310TC3_20260417,2_np1.5v,-1.5v~1.5v,正常,145,145,1.1620000000000001,1.18,0.2120979857413916,0.45,1.48,1.03,0.49949075642097723,145,-1.3299310344827584,-1.39,0.14727853690524698,-1.48,-0.78,0.7,0.34684095441185664
26BW108-549-D310TC3_20260417,3_n2p1.5v,-2v~1.5v,正常,157,157,1.0438853503184713,1.04,0.2653822827582124,0.05,1.49,1.44,0.6249752758955902,157,-1.6430573248407643,-1.65,0.14790269852595384,-1.97,-1.2,0.77,0.3483108550286213
26BW108-549-D310TC3_20260417,4_n2.5p2v,-2.5v~2v,正常,254,254,1.2830708661417323,1.23,0.3762746701137446,0.55,1.98,1.43,0.8861268481178686,254,-2.283228346456693,-2.32,0.18589972174557196,-2.49,-0.76,1.7300000000000002,0.43779384471082194
26BW108-549-D310TC3_20260417,5_n3p2v,-3v~2v,正常,446,446,1.0578923766816144,0.97,0.2975541451401224,0.55,1.97,1.42,0.7007400118049882,446,-2.6615919282511213,-2.66,0.15102622535072913,-2.99,-1.94,1.0500000000000003,0.3556667607009671
26BW108-549-D310TC3_20260417,6_n3.3p2v,-3.3v~2v,正常,644,644,1.042111801242236,0.995,0.23371210889674074,0.46,1.98,1.52,0.5503920164518245,644,-2.8923136645962733,-2.875,0.1830816755065919,-3.28,-1.93,1.3499999999999999,0.43115734581802395
26BW110-555TC3-D34_20260422,1_np1v,-1v~1v,正常,4,4,0.78,0.815,0.11045361017187261,0.62,0.87,0.25,0.26011825195475996,4,-0.5449999999999999,-0.495,0.30424770609926816,-0.96,-0.23,0.73,0.7165033478637765
26BW110-555TC3-D34_20260422,2_np1.5v,-1.5v~1.5v,正常,7,7,1.1428571428571428,1.1,0.13901010583338724,1.0,1.35,0.3500000000000001,0.32736879923762696,7,-1.282857142857143,-1.38,0.21203099503879816,-1.45,-0.96,0.49,0.49933299331636966
26BW110-555TC3-D34_20260422,3_np2v,-2v~2v,正常,12,12,1.5650000000000002,1.73,0.3979150206216946,0.75,1.91,1.16,0.9370898735640908,12,-1.4841666666666669,-1.56,0.32267231713059036,-1.97,-1.03,0.94,0.7598933068425403
26BW110-555TC3-D34_20260422,4_np2.5v,-2.5v~2.5v,正常,21,21,1.8414285714285714,1.89,0.49675230965024936,0.5,2.41,1.9100000000000001,1.1698516892263373,21,-1.8742857142857143,-2.06,0.5665736618355236,-2.45,-0.17,2.2800000000000002,1.334280973622658
26BW110-555TC3-D34_20260422,5_n3p2.5v,-3v~2.5v,正常,20,20,1.3385,1.3250000000000002,0.6066410973983147,0.18,2.29,2.11,1.4286397843730312,20,-2.146,-2.61,0.9258646030375579,-2.99,-0.27,2.72,2.1804111401534487
26BW110-556TC3-D37_20260427,4_np2.5v,-2.5v~2.5v,正常,2,2,2.305,2.305,0.2050609665440988,2.16,2.45,0.29000000000000004,0.4829185762113527,2,-1.6199999999999999,-1.6199999999999999,0.6363961030678927,-2.07,-1.17,0.8999999999999999,1.4987128227248874
26BW110-556TC3-D37_20260427,5_np3v,-3v~3v,正常,9,9,2.326666666666666,2.81,0.7107742257566744,0.97,2.91,1.9400000000000002,1.6738733016569682,9,-1.921111111111111,-1.81,0.6073599518498985,-2.96,-1.31,1.65,1.4303326866065111
26BW110-556TC3-D37_20260427,6_np3.3v,-3.3v~3.3v,正常,14,14,1.8535714285714284,1.475,0.7659544788930108,0.99,3.11,2.12,1.8038227977930406,14,-1.575,-1.455,0.5021913518233403,-2.69,-0.95,1.74,1.1826606335439664
